id,imię,nazwisko,płeć,PESEL,miasto,adres,karta_lojalnościowa,telefon,email
1,Stefaniia,Murashkova,K,97110396534,Wrocław,ul. Tęczowa 85/29,False,48709301163,s-mur1997@gmail.com
2,Dariusz,Czarnolewski,M,86053013316,Wrocław,ul. Świerkowa 22,False,48561145823,czarnolewski19866@gmail.com
3,Urszula,Zagrajek,K,80103135713,Małogoszcz,ul. Pomorska 69/47,True,48004768068,u.zagrajek80@wp.pl
4,Alan,Zhyhalskyi,M,72111160173,Wrocław,ul. Sudel 61/7,False,48128707860,qxo8h8@opayq.com
5,Wiesława,Falarz,K,91042511832,Kraków,ul. św. Wiktorii 3/42,False,48046902102,um7lcutn662xf@opayq.com
6,Halina,Bodniewicz,K,96010317715,Wrocław,ul. Kwiatowa 37,False,48581171266,bcz3r7a53q82@opayq.com
7,Petro,Eibl,M,90010680756,Głubczyce,ul. Klonowa 8/16,False,48417363481,r4q6e72v3g@o2.pl
8,Mateusz,Zieliński,M,77041544235,Szczecin,ul. Boczna 62/23,False,48983748208,m_zielinsk@wp.pl
9,Barbara,Pałucka,K,72052010218,Wrocław,ul. Sąsiedzka 38/50,False,48704260012,t11r029m939qa@opayq.com
10,Henryk,Pazurek,M,96092231936,Opole,ul. Pierwszej Armii Wojska Polskiego 89/11,False,48491108567,h.pazurek1996@onet.pl
11,Robert,Bartusik,M,77040316457,Wrocław,ul. Zygmunta Noskowskiego 35/42,False,48241072906,robbart@gmail.com
12,Grzegorz,Bogusz,M,85092792293,Wrocław,ul. Słowicza 30,True,48623238638,bogus.1985@outlook.com
13,Mariola,Wilkaniec,K,98041552637,Gdynia,ul. Bandtkich 8/21,False,48561439611,marwilka@interia.pl
14,Adrian,Khadka,M,79060323613,Wrocław,ul. Łukowa 28/36,False,48502813600,a.khadka@gmail.com
15,Mieczysław,Kokorniak,M,79043009617,Poznań,ul. Dębowa 84/20,False,48801650579,m76u1ox@gmail.com
16,Sabina,Sławińska,K,81082366710,Zielona Góra,ul. Wincentego Witosa 48/38,False,48146220611,sab.sl1981@protonmail.com
17,Halina,Machoń,K,77051841050,Wrocław,ul. Opolska 42/49,False,48004443953,hmacho77@o2.pl
18,Ewelina,Wójcicka,K,72072989374,Wrocław,ul. Kolejowa 7,False,48577006785,e.wojc72@wp.pl
19,Alicja,Zblewska,K,87120942577,Wrocław,ul. Żołnierska 1,True,48285675505,a_zb@gmail.com
20,Kacper,Sitko,M,99032717950,Lubin,ul. Modlińska 68/34,False,48136948520,kac_sitk@yahoo.com
21,Adam,Wałachowski,M,88092171271,Nowa Sól,ul. Braterska 24,False,48196337796,a-walachowski@gmail.com
22,Kamil,Katrych,M,04322611911,Tarnobrzeg,ul. Tulipanowa 8/16,False,48998971603,katryc.04@gmail.com
23,Nataliia,Kaczmarek,K,00273085191,Łódź,ul. Komandosów 72/44,True,48853903607,n_ka@yahoo.com
24,Sławomir,Gomoła,M,80091985019,Wrocław,ul. Słoneczna 63,False,48534482462,s-gomola1980@gmail.com
25,Tetiana,Piechowicz,K,71090694590,Gostynin,ul. Miodowa 48/39,False,48730119403,piechowicz68011@onet.pl
26,Brigitte,Hlushchenko,K,99101288019,Łódź,ul. Kamienna 29/25,False,48062868284,hlushchenko4@onet.pl
27,Mollie,Załóg,K,70081132695,Wrocław,ul. Zygmunta III Wazy 50/4,False,48863302586,m_zalog70@interia.pl
28,Maria,Kowalska,K,88011757559,Wrocław,ul. Majerczykówka 15/45,False,48059245789,mkowa1988@onet.pl
29,Romira,Michalak,K,01321216994,Krzepice,ul. Powstańców Śląskich 26/6,False,48634978250,zl4s5zf7r96@opayq.com
30,Monika,Wróbel,K,08232635955,Krosno,ul. Grabowa 30,False,48781726694,wrobel7@wp.pl
31,Krystyna,Waszczuk,K,80012981252,Warszawa,ul. Potulicka 13/45,False,48770614220,k_waszcz1980@protonmail.com
32,Cezary,Błaszczyk,M,93081524752,Toruń,ul. Różana 94/31,False,48573168688,gul1zx@o2.pl
33,Sabina,Malicka,K,90010821517,Poznań,ul. Bukowa 62/32,False,48647507311,malicka7@wp.pl
34,Olha,Gawlak,K,73061123814,Wrocław,ul. Pod Sosnami 65,False,48189941531,o.gawla1973@gazeta.pl
35,Jan,Szychowski,M,96052498955,Wrocław,ul. ks. Bernarda Dembka 64,False,48113535346,j-szychowski684@gmail.com
36,Wiktoria,Kłysz,K,88032656255,Pszczyna,ul. Dębowa 56/19,True,48123683501,klysz19886@interia.pl
37,Iryna,Mazurek,K,78031897711,Szczecin,ul. Lucjana Rydla 66,True,48275166030,irymazur710@protonmail.com
38,Arleta,Lewandowska,K,73092367458,Wrocław,ul. Miła 20/44,False,48581365414,lewandowska19730@gmail.com
39,Krzysztof,Dreszer,M,80111375354,Kluczbork,ul. Brzozowa 23/38,False,48648577954,k.dresze1980@wp.pl
40,Katarzyna,Owczarek,K,74030648358,Wrocław,ul. Stokowa 84/10,False,48994772227,kat_ow1162@gmail.com
41,Mateusz,Szczypka,M,70061184898,Kraków,ul. Graniczna 36,False,48393730648,m-szczypk70@opayq.com
42,Aniela,Izydorczyk,K,88011443117,Sułkowice,ul. Jaskółcza 57,True,48414429984,a_izydorczyk@gazeta.pl
43,Henryk,Kędzior,M,94061966896,Wrocław,ul. Brzozowa 67/7,False,48909937384,h.kedzior@gazeta.pl
44,Krzysztof,Łojewski,M,87033079216,Opole,ul. Piaskowa 66/11,False,48773809556,k-lojewski@wp.pl
45,Yaroslav,Ostrowski,M,88010454594,Wrocław,ul. Moraczewskiego 61/15,False,48810923846,y-ostrowski@gmail.com
46,Marcin,Ochodek,M,77032364631,Wrocław,ul. Brzozowa 31/20,True,48160195175,mg7ro41@outlook.com
47,Maja,Kapela,K,83111698539,Wrocław,ul. Platanowa 70,False,48051374378,maj-kapel@o2.pl
48,Izabela,Rutkowska,K,98100987530,Wrocław,ul. Wesoła 50/15,False,48914130487,tko812sf7ws6@opayq.com
49,Teresa,Leśniewska,K,78102534855,Wrocław,ul. Kasztanowa 61/10,False,48374174613,lesniewska783@gmail.com
50,Przemysław,Woźniak,M,90050382898,Świdnica,ul. Michała Wołodyjowskiego 66/26,False,48417035966,p_wo@wp.pl
51,Krystyna,Fąfara,K,86040506870,Wrocław,ul. Piękna Góra 22/43,False,48465278130,fafar_kryst3620@wp.pl
52,Anna,Miazga,K,97111710173,Wrocław,ul. Derkaczy 70,False,48228602995,a_miazga@gmail.com
53,Maria,Kałek,K,80112603610,Krasnobród,ul. Orkiszowa 61/34,True,48810358882,km@wp.pl
54,Ielyzaveta,Tynor,K,07292226633,Głuszyca,ul. Władysława Łokietka 14/2,False,48158009889,tynoiely@wp.pl
55,Ahmed,Pośpiech,M,87080490592,Gryfice,ul. Inżynierska 50/17,False,48941478443,ahm.pospiec9736@protonmail.com
56,Ewa,Fliak,K,08241620553,Wrocław,ul. Okrężna 35,False,48573058246,e-flia@yahoo.com
57,Wanda,Basiuk,K,80031247434,Braniewo,ul. Makowa 38/44,False,48610737408,wanba80@gmail.com
58,Nela,Goszczyńska,K,70080214699,Głubczyce,pl. Medyków 82/21,False,48030898313,nel-g@gmail.com
59,Andrea,Chruścińska,K,74111523398,Wrocław,ul. Główna 67/8,True,48517425004,chruscinska741@vp.pl
60,Kamil,Hańczakowski,M,91020191579,Wrocław,ul. Torfowa 1,False,48571460811,k.hanczakowski@onet.pl
61,Maria,Stefanowicz,K,00240654636,Wrocław,ul. Szkolna 33/51,True,48042155774,mar_stefan2000@gmail.com
62,Mateusz,Bykowski,M,99092431450,Wrocław,ul. Kazimierza Funka 2,True,48880614040,m.bykowski@wp.pl
63,Tomasz,Kacprzyk,M,75052517976,Kalisz,ul. Grabowa 72,False,48510147906,kacp_tom1975@o2.pl
64,Barbara,Murias,K,94080941577,Darłowo,ul. Zakole 27/9,False,48973151009,b.murias@onet.pl
65,Jakub,Trần,M,73061779077,Wrocław,ul. Promienna 64/18,False,48928424255,jak_tr73@interia.pl
66,Piotr,Biernat,M,72041450317,Ustroń,ul. Rysia 98/23,True,48832465306,r5tr682h3l@gmail.com
67,Dariusz,Podolak,M,79090465952,Puławy,ul. Jana Leopolda Tyranowskiego 98/35,False,48475964810,podola.darius1979@gmail.com
68,Maria,Wiśniewska,K,90032528056,Wrocław,ul. Jabłoniowa 36/19,False,48795908207,m.w1990@wp.pl
69,Celina,Konkol,K,99072974533,Łódź,ul. Wiosenna 52/8,False,48529083636,konkoce@gmail.com
70,Lucyna,Kordunowska,K,77122769858,Chrzanów,ul. Popielów 34/49,False,48100263059,s0r58g2nf3683ad@gmail.com
